oberhọmwan|oberhọmwan.wav
ameve|ameve.wav
ebaan wẹ miẹn mwẹn a|ebaan wẹ miẹn mwẹn a.wav
orrirri|orrirri.wav
sikẹ odaro|sikẹ odaro.wav
oghọghọ|oghọghọ.wav
imina|imina.wav
ovbe|ovbe.wav
ọse|ọse.wav
efiaide|efiaide.wav
ikpanro|ikpanro.wav
ọmotọ|ọmotọ.wav
òténmwén|òténmwén.wav
ivie|ivie.wav
wii|wii.wav
wuo|wuo.wav
érhá|érhá.wav
ore|ore.wav
iyabọ|iyabọ.wav
ikpekere|ikpekere.wav
okaro|okaro.wav
amivin|amivin.wav
ozikpalọ|ozikpalọ.wav
ọ|ọ.wav
ikoroba|ikoroba.wav
fian|fian.wav
iyayi|iyayi.wav
ikpedin|ikpedin.wav
okha|okha.wav
okuo|okuo.wav
akpọlọkpọlọ|akpọlọkpọlọ.wav
amurhukpa|amurhukpa.wav
enì óghéé òmwán|enì óghéé òmwán.wav
iso|iso.wav
ota|ota.wav
ọdọ|ọdọ.wav
ọkpankpan|ọkpankpan.wav
òkpia|òkpia.wav
òtén|òtén.wav
italawẹ|italawẹ.wav
ivin-eva|ivin-eva.wav
wua|wua.wav
ebo|ebo.wav
dayọn|dayọn.wav
ohoghe|ohoghe.wav
wio|wio.wav
dunmwun|dunmwun.wav
amuro|amuro.wav
oliha|oliha.wav
íyé|íyé.wav
oghogho|oghogho.wav
ovbiọha|ovbiọha.wav
agobọ|agobọ.wav
òkhíen òwie|òkhíen òwie.wav
ogiavan|ogiavan.wav
isanhẹn|isanhẹn.wav
okuta|okuta.wav
odaro|odaro.wav
ovbi-odo|ovbi-odo.wav
obiyọmwan|obiyọmwan.wav
ovbe hun mwẹn|ovbe hun mwẹn.wav
obọ|obọ.wav
ebaan|ebaan.wav
alubahra|alubahra.wav
ebevbarrie|ebevbarrie.wav
ọgọ|ọgọ.wav
edede|edede.wav
uzọla|uzọla.wav
mwaan ọnrẹn ne a rẹn vbene ọ tan sẹ hẹẹ|mwaan ọnrẹn ne a rẹn vbene ọ tan sẹ hẹẹ.wav
okpemwin|okpemwin.wav
egwi|egwi.wav
okhokho|okhokho.wav
osọnnọ|osọnnọ.wav
eda|eda.wav
ogieva|ogieva.wav
ọghae|ọghae.wav
dekaan|dekaan.wav
osisi|osisi.wav
odidọn|odidọn.wav
ogbigbi|ogbigbi.wav
agbaka|agbaka.wav
itan|itan.wav
egbalaka|egbalaka.wav
úkpú|úkpú.wav
vbè ore 'nì rue|vbè ore 'nì rue.wav
iye-nọkhua|iye-nọkhua.wav
ọkpan|ọkpan.wav
ebi|ebi.wav
vbè á tíe rue|vbè á tíe rue.wav
fingho|fingho.wav
arọkpa|arọkpa.wav
okieke|okieke.wav
ọdiọn|ọdiọn.wav
ebe na si otọlọ|ebe na si otọlọ.wav
alimoi|alimoi.wav
winna|winna.wav
owa|owa.wav
aguegbero|aguegbero.wav
dọlọyi|dọlọyi.wav
oha|oha.wav
agikpa|agikpa.wav
ebafọ|ebafọ.wav
olighi|olighi.wav
ologbo|ologbo.wav
ọfurre|ọfurre.wav
olọ|olọ.wav
alagbodẹ|alagbodẹ.wav
igho|igho.wav
ọgbọn|ọgbọn.wav
oloi|oloi.wav
otiku|otiku.wav
abakuru|abakuru.wav
oya|oya.wav
ọrhiae|ọrhiae.wav
imoukhuede|imoukhuede.wav
ọka|ọka.wav
ikian|ikian.wav
ẹ̀dó|ẹ̀dó.wav
olaga|olaga.wav
dorhie|dorhie.wav
ebuka|ebuka.wav
ọfọ|ọfọ.wav
orhiọn|orhiọn.wav
ohu|ohu.wav
owọrọ|owọrọ.wav
dede|dede.wav
asọn|asọn.wav
ọpia|ọpia.wav
ọmọ|ọmọ.wav
iwinna|iwinna.wav
eboriwo|eboriwo.wav
ototọ|ototọ.wav
egbe|egbe.wav
obalọ|obalọ.wav
orhiọn nọhuanrẹn|orhiọn nọhuanrẹn.wav
ediran|ediran.wav
okpiọba|okpiọba.wav
aghanghan|aghanghan.wav
ọdọlukpọn|ọdọlukpọn.wav
ekabita|ekabita.wav
okoro|okoro.wav
oyiya|oyiya.wav
ori|ori.wav
ù rú èsé|ù rú èsé.wav
eghe|eghe.wav
ivin|ivin.wav
ebe|ebe.wav
ahiọ|ahiọ.wav
ọgbalama|ọgbalama.wav
mwaan|mwaan.wav
iyan|iyan.wav
owo|owo.wav
ozi|ozi.wav
kóyo|kóyo.wav
akpakomiza|akpakomiza.wav
amẹ odidọn|amẹ odidọn.wav
èvbèe|èvbèe.wav
ovbi-aleke|ovbi-aleke.wav
òkhùo|òkhùo.wav
amọgba|amọgba.wav
inugba|inugba.wav
owebe|owebe.wav
ọkpa|ọkpa.wav
otọlọ|otọlọ.wav
ọzuọ|ọzuọ.wav
igue|igue.wav
ekhae|ekhae.wav
ọfiontọ|ọfiontọ.wav
ẹghẹso|ẹghẹso.wav
wọn|wọn.wav
otoro|otoro.wav
evbare|evbare.wav
eghe hia|eghe hia.wav
ìzènófua|ìzènófua.wav
aroegbe|aroegbe.wav
eva|eva.wav
osarenkhoe|osarenkhoe.wav
vbèè óye hé|vbèè óye hé.wav
okhuakhua|okhuakhua.wav
ebiavan|ebiavan.wav
orhue|orhue.wav
